,G,HR,IP,CG,L,SV,R,SO,ERA,W,H,ShO,TBB,ER,LABEL
0,19.0,5.0,63.1,1.0,6.0,0.0,55.0,27.0,5.42,2.0,85.0,0.0,41.0,38.0,0
0,321.0,48.0,611.1,0.0,33.0,14.0,360.0,350.0,4.62,23.0,663.0,14.0,319.0,314.0,0
0,326.0,38.0,525.1,0.0,27.0,68.0,215.0,295.0,3.31,28.0,519.0,68.0,156.0,193.0,0
0,209.0,167.0,1178.2,3.0,68.0,0.0,688.0,855.0,4.94,71.0,1253.0,0.0,448.0,647.0,0
0,5.0,0.0,10.0,0.0,0.0,0.0,3.0,4.0,2.7,0.0,8.0,0.0,3.0,3.0,0
0,16.0,5.0,55.2,0.0,3.0,0.0,24.0,25.0,3.59,2.0,49.0,0.0,35.0,22.0,0
0,24.0,7.0,106.0,6.0,8.0,0.0,62.0,46.0,4.58,4.0,105.0,0.0,70.0,54.0,0
0,5.0,2.0,8.0,0.0,1.0,1.0,5.0,4.0,5.63,0.0,9.0,1.0,5.0,5.0,0
0,27.0,1.0,23.2,0.0,0.0,0.0,11.0,25.0,3.88,1.0,23.0,0.0,17.0,10.0,0
0,1071.0,347.0,3285.2,100.0,171.0,390.0,1382.0,2401.0,3.5,197.0,3076.0,390.0,738.0,1278.0,1
0,18.0,3.0,26.2,0.0,2.0,0.0,30.0,7.0,9.27,0.0,40.0,0.0,14.0,27.0,0
0,25.0,8.0,71.2,1.0,3.0,0.0,45.0,22.0,4.55,0.0,86.0,0.0,27.0,36.0,0
0,6.0,0.0,3.2,0.0,0.0,0.0,3.0,2.0,8.44,0.0,7.0,0.0,2.0,3.0,0
0,29.0,3.0,34.1,0.0,2.0,0.0,10.0,23.0,2.38,0.0,29.0,0.0,25.0,9.0,0
0,7.0,1.0,32.1,0.0,1.0,0.0,19.0,7.0,4.77,1.0,36.0,0.0,20.0,17.0,0
0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,27.0,0.0,0.0,0.0,6.0,3.0,0
0,27.0,5.0,45.1,0.0,0.0,0.0,34.0,26.0,6.78,2.0,56.0,0.0,11.0,34.0,0
0,5.0,0.0,5.2,0.0,0.0,0.0,7.0,3.0,12.12,0.0,7.0,0.0,8.0,7.0,0
0,9.0,3.0,17.0,0.0,0.0,0.0,12.0,10.0,5.82,0.0,25.0,0.0,7.0,11.0,0
0,182.0,20.0,312.1,0.0,12.0,6.0,145.0,182.0,3.86,19.0,315.0,6.0,123.0,134.0,0
0,9.0,6.0,51.2,1.0,4.0,0.0,32.0,19.0,5.27,3.0,60.0,0.0,24.0,30.0,0
0,17.0,2.0,20.2,0.0,2.0,0.0,14.0,11.0,4.9,1.0,31.0,0.0,10.0,11.0,0
0,115.0,9.0,81.2,0.0,3.0,1.0,32.0,78.0,3.21,3.0,64.0,1.0,28.0,29.0,0
0,27.0,3.0,26.2,0.0,1.0,0.0,20.0,15.0,6.87,0.0,37.0,0.0,16.0,20.0,0
0,121.0,21.0,170.0,0.0,12.0,1.0,103.0,98.0,4.98,9.0,182.0,1.0,81.0,94.0,0
0,8.0,1.0,14.0,0.0,0.0,0.0,15.0,3.0,9.64,0.0,22.0,0.0,8.0,15.0,0
0,14.0,5.0,87.2,1.0,6.0,0.0,36.0,46.0,3.72,1.0,72.0,0.0,39.0,36.0,0
0,1.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,9.0,0.0,8.0,0.0,1.0,3.0,0
0,56.0,4.0,170.0,4.0,9.0,0.0,108.0,60.0,4.76,6.0,193.0,0.0,84.0,90.0,0
0,145.0,19.0,584.1,22.0,37.0,4.0,360.0,211.0,4.38,26.0,666.0,4.0,278.0,284.0,0
0,10.0,0.0,8.1,0.0,0.0,0.0,5.0,9.0,4.44,0.0,13.0,0.0,7.0,4.0,0
0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,4.0,0.0,1.0,1.0,0
0,62.0,9.0,125.2,0.0,5.0,2.0,56.0,84.0,3.38,5.0,110.0,2.0,61.0,47.0,0
0,14.0,1.0,86.1,6.0,5.0,0.0,39.0,35.0,2.61,4.0,77.0,0.0,48.0,25.0,0
0,669.0,111.0,4086.2,273.0,213.0,27.0,1813.0,1471.0,3.15,254.0,4106.0,27.0,1213.0,1430.0,1
0,848.0,141.0,1375.0,6.0,95.0,191.0,591.0,877.0,3.48,104.0,1347.0,191.0,362.0,531.0,0
0,19.0,0.0,43.1,0.0,0.0,0.0,23.0,21.0,2.71,0.0,44.0,0.0,30.0,13.0,0
0,38.0,6.0,82.1,0.0,7.0,3.0,55.0,21.0,5.48,2.0,88.0,3.0,38.0,50.0,0
0,5.0,0.0,5.2,0.0,0.0,0.0,3.0,0.0,5.19,0.0,11.0,0.0,2.0,3.0,0
0,5.0,0.0,8.0,0.0,0.0,0.0,3.0,2.0,1.13,0.0,8.0,0.0,4.0,1.0,0
0,7.0,1.0,41.0,2.0,2.0,0.0,28.0,16.0,5.49,1.0,52.0,0.0,25.0,25.0,0
0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,9.0,0.0,5.0,0.0,0.0,2.0,0
0,30.0,19.0,124.1,0.0,9.0,0.0,100.0,78.0,6.96,5.0,149.0,0.0,42.0,96.0,0
0,325.0,152.0,1435.1,25.0,90.0,7.0,717.0,865.0,4.07,70.0,1385.0,7.0,671.0,649.0,0
0,40.0,4.0,114.2,3.0,4.0,0.0,97.0,16.0,6.07,5.0,158.0,0.0,54.0,77.0,0
0,330.0,23.0,2275.0,180.0,123.0,8.0,963.0,1164.0,2.68,130.0,2090.0,8.0,690.0,678.0,0
0,64.0,10.0,75.2,0.0,5.0,0.0,50.0,62.0,5.63,3.0,91.0,0.0,36.0,47.0,0
0,33.0,3.0,76.2,1.0,1.0,0.0,60.0,20.0,5.55,2.0,99.0,0.0,39.0,47.0,0
0,13.0,5.0,30.2,0.0,0.0,0.0,18.0,27.0,5.07,0.0,37.0,0.0,20.0,17.0,0
0,15.0,3.0,20.0,0.0,0.0,0.0,14.0,7.0,5.85,0.0,26.0,0.0,6.0,13.0,0
0,103.0,6.0,110.0,0.0,5.0,14.0,41.0,103.0,2.78,2.0,85.0,14.0,53.0,34.0,0
0,164.0,73.0,733.0,28.0,51.0,6.0,445.0,352.0,4.85,34.0,763.0,6.0,393.0,395.0,0
0,7.0,4.0,35.1,2.0,4.0,0.0,55.0,7.0,9.23,1.0,57.0,0.0,24.0,36.0,0
0,16.0,3.0,33.1,0.0,1.0,1.0,22.0,35.0,5.44,2.0,29.0,1.0,24.0,20.0,0
0,55.0,7.0,105.0,0.0,5.0,0.0,72.0,64.0,5.49,0.0,106.0,0.0,65.0,64.0,0
0,5.0,2.0,24.0,0.0,3.0,0.0,12.0,13.0,3.75,0.0,20.0,0.0,15.0,10.0,0
0,17.0,0.0,92.0,5.0,9.0,0.0,52.0,30.0,3.62,2.0,87.0,0.0,38.0,37.0,0
0,4.0,2.0,9.1,0.0,1.0,0.0,12.0,11.0,11.87,0.0,12.0,0.0,5.0,12.0,0
0,370.0,52.0,624.0,0.0,43.0,75.0,343.0,395.0,4.3,30.0,611.0,75.0,345.0,298.0,0
0,6.0,9.0,23.0,0.0,3.0,0.0,18.0,14.0,7.04,0.0,26.0,0.0,10.0,18.0,0
0,7.0,8.0,28.0,0.0,1.0,0.0,25.0,16.0,7.71,0.0,32.0,0.0,13.0,24.0,0
0,44.0,6.0,70.0,0.0,3.0,0.0,47.0,28.0,5.79,2.0,100.0,0.0,29.0,45.0,0
0,893.0,132.0,988.2,1.0,66.0,57.0,509.0,963.0,4.26,43.0,944.0,57.0,412.0,468.0,0
0,123.0,8.0,138.2,0.0,5.0,17.0,62.0,170.0,3.65,3.0,117.0,17.0,49.0,56.0,0
0,5.0,0.0,18.0,0.0,0.0,0.0,8.0,6.0,2.5,0.0,20.0,0.0,7.0,5.0,0
0,509.0,70.0,824.1,1.0,45.0,132.0,326.0,668.0,3.25,48.0,751.0,132.0,334.0,298.0,0
0,116.0,72.0,698.2,13.0,46.0,0.0,383.0,355.0,4.56,36.0,732.0,0.0,250.0,354.0,0
0,590.0,152.0,1704.2,41.0,111.0,83.0,737.0,1177.0,3.45,106.0,1628.0,83.0,468.0,653.0,0
0,720.0,214.0,2033.2,17.0,124.0,25.0,1042.0,1643.0,4.11,121.0,2083.0,25.0,724.0,929.0,0
0,8.0,1.0,10.0,0.0,1.0,0.0,6.0,10.0,5.4,0.0,8.0,0.0,8.0,6.0,0
0,4.0,3.0,11.2,0.0,0.0,0.0,9.0,7.0,7.23,0.0,16.0,0.0,1.0,9.0,0
0,71.0,42.0,261.1,8.0,16.0,2.0,150.0,164.0,4.72,12.0,247.0,2.0,95.0,137.0,0
0,43.0,6.0,127.1,3.0,8.0,2.0,68.0,34.0,3.75,10.0,146.0,2.0,47.0,53.0,0
